forecast_origin_date,model_id,model_label,n_training_rows,n_previous_year_training_rows,n_current_year_training_rows,n_forecast_rows,n_model_features,numeric_features,categorical_features
2023-09-17,M3,+ leading crop indicators RF,131,79,52,4,16,"cumulative_gdd_base_10, cumulative_solar_radiation, current_dry_matter_g, current_fruit_number, dry_matter_trend_g, forecast_horizon_days, fruit_number_trend, gdd_base_10, mean_fruit_diameter_mm, mean_individual_fruit_fresh_weight_g, origin_day_of_year, rhmean_7d, sample_length_mm_median, solar_radiation_7d, tmean_7d",nitrogen_treatment
2023-09-17,M4,Compact crop/weather RF,131,79,52,4,18,"cumulative_gdd_base_10, cumulative_solar_radiation, current_dry_matter_g, current_fresh_matter_g, current_fruit_number, dry_matter_trend_g, forecast_horizon_days, fresh_matter_trend_g, fruit_number_trend, gdd_base_10, mean_fruit_diameter_mm, mean_individual_fruit_fresh_weight_g, origin_day_of_year, rhmean_7d, sample_length_mm_median, solar_radiation_7d, tmean_7d",nitrogen_treatment
2023-09-17,M5,Compact crop/weather + tagged-fruit RF,131,79,52,4,23,"cumulative_gdd_base_10, cumulative_solar_radiation, current_dry_matter_g, current_fresh_matter_g, current_fruit_number, dry_matter_trend_g, forecast_horizon_days, fresh_matter_trend_g, fruit_number_trend, gdd_base_10, mean_fruit_diameter_mm, mean_individual_fruit_fresh_weight_g, origin_day_of_year, rhmean_7d, sample_length_mm_median, solar_radiation_7d, tagged_fruit_diameter_current_mm, tagged_fruit_diameter_trend_mm, tagged_fruit_length_current_mm, tagged_fruit_length_trend_mm, tagged_fruit_n_observed, tmean_7d",nitrogen_treatment
2023-09-17,M6,Full raw RF reference,131,79,52,4,80,"change_dry_matter_g, change_fresh_matter_g, change_fruit_number, cumulative_gdd_base_10, cumulative_solar_radiation, current_dry_matter_g, current_fresh_matter_g, current_fruit_number, day_of_year, days_since_previous_observation, days_since_weather_start, forecast_horizon_days, gdd_base_10, mean_fruit_diameter_mm, mean_fruit_length_mm, mean_individual_fruit_fresh_weight_g, mean_tagged_fruit_diameter_mm, mean_tagged_fruit_length_mm, n_fruit_size_samples, n_tagged_fruit_diameter_mm_observations, n_tagged_fruit_length_mm_observations, origin_day_of_year, origin_month, origin_week_of_year, previous_dry_matter_g, previous_fresh_matter_g, previous_fruit_number, rhmean_7d, rhmean_pct, rolling_mean_2_dry_matter_g, rolling_mean_2_fresh_matter_g, rolling_mean_2_fruit_number, rolling_mean_3_dry_matter_g, rolling_mean_3_fresh_matter_g, rolling_mean_3_fruit_number, sample_condition_code_max, sample_condition_code_mean, sample_condition_code_median, sample_condition_code_min, sample_condition_code_n_non_missing, sample_condition_code_n_records, sample_condition_code_p10, sample_condition_code_p90, sample_condition_code_std, sample_diameter_mm_max, sample_diameter_mm_mean, sample_diameter_mm_median, sample_diameter_mm_min, sample_diameter_mm_n_non_missing, sample_diameter_mm_n_records, sample_diameter_mm_p10, sample_diameter_mm_p90, sample_diameter_mm_std, sample_individual_fruit_fresh_weight_g_max, sample_individual_fruit_fresh_weight_g_mean, sample_individual_fruit_fresh_weight_g_median, sample_individual_fruit_fresh_weight_g_min, sample_individual_fruit_fresh_weight_g_n_non_missing, sample_individual_fruit_fresh_weight_g_n_records, sample_individual_fruit_fresh_weight_g_p10, sample_individual_fruit_fresh_weight_g_p90, sample_individual_fruit_fresh_weight_g_std, sample_length_mm_max, sample_length_mm_mean, sample_length_mm_median, sample_length_mm_min, sample_length_mm_n_non_missing, sample_length_mm_n_records, sample_length_mm_p10, sample_length_mm_p90, sample_length_mm_std, script07_n_fruit_size_samples, solar_radiation, solar_radiation_7d, tmax_c, tmean_7d, tmean_c, tmin_c","forecast_task, nitrogen_treatment"
2023-09-21,M1,Calendar + nitrogen RF,135,79,56,4,3,"forecast_horizon_days, origin_day_of_year",nitrogen_treatment
2023-09-21,M2,+ weather / GDD RF,135,79,56,4,9,"cumulative_gdd_base_10, cumulative_solar_radiation, forecast_horizon_days, gdd_base_10, origin_day_of_year, rhmean_7d, solar_radiation_7d, tmean_7d",nitrogen_treatment
2023-09-21,M3,+ leading crop indicators RF,135,79,56,4,16,"cumulative_gdd_base_10, cumulative_solar_radiation, current_dry_matter_g, current_fruit_number, dry_matter_trend_g, forecast_horizon_days, fruit_number_trend, gdd_base_10, mean_fruit_diameter_mm, mean_individual_fruit_fresh_weight_g, origin_day_of_year, rhmean_7d, sample_length_mm_median, solar_radiation_7d, tmean_7d",nitrogen_treatment
2023-09-21,M4,Compact crop/weather RF,135,79,56,4,18,"cumulative_gdd_base_10, cumulative_solar_radiation, current_dry_matter_g, current_fresh_matter_g, current_fruit_number, dry_matter_trend_g, forecast_horizon_days, fresh_matter_trend_g, fruit_number_trend, gdd_base_10, mean_fruit_diameter_mm, mean_individual_fruit_fresh_weight_g, origin_day_of_year, rhmean_7d, sample_length_mm_median, solar_radiation_7d, tmean_7d",nitrogen_treatment
2023-09-21,M5,Compact crop/weather + tagged-fruit RF,135,79,56,4,23,"cumulative_gdd_base_10, cumulative_solar_radiation, current_dry_matter_g, current_fresh_matter_g, current_fruit_number, dry_matter_trend_g, forecast_horizon_days, fresh_matter_trend_g, fruit_number_trend, gdd_base_10, mean_fruit_diameter_mm, mean_individual_fruit_fresh_weight_g, origin_day_of_year, rhmean_7d, sample_length_mm_median, solar_radiation_7d, tagged_fruit_diameter_current_mm, tagged_fruit_diameter_trend_mm, tagged_fruit_length_current_mm, tagged_fruit_length_trend_mm, tagged_fruit_n_observed, tmean_7d",nitrogen_treatment
2023-09-21,M6,Full raw RF reference,135,79,56,4,80,"change_dry_matter_g, change_fresh_matter_g, change_fruit_number, cumulative_gdd_base_10, cumulative_solar_radiation, current_dry_matter_g, current_fresh_matter_g, current_fruit_number, day_of_year, days_since_previous_observation, days_since_weather_start, forecast_horizon_days, gdd_base_10, mean_fruit_diameter_mm, mean_fruit_length_mm, mean_individual_fruit_fresh_weight_g, mean_tagged_fruit_diameter_mm, mean_tagged_fruit_length_mm, n_fruit_size_samples, n_tagged_fruit_diameter_mm_observations, n_tagged_fruit_length_mm_observations, origin_day_of_year, origin_month, origin_week_of_year, previous_dry_matter_g, previous_fresh_matter_g, previous_fruit_number, rhmean_7d, rhmean_pct, rolling_mean_2_dry_matter_g, rolling_mean_2_fresh_matter_g, rolling_mean_2_fruit_number, rolling_mean_3_dry_matter_g, rolling_mean_3_fresh_matter_g, rolling_mean_3_fruit_number, sample_condition_code_max, sample_condition_code_mean, sample_condition_code_median, sample_condition_code_min, sample_condition_code_n_non_missing, sample_condition_code_n_records, sample_condition_code_p10, sample_condition_code_p90, sample_condition_code_std, sample_diameter_mm_max, sample_diameter_mm_mean, sample_diameter_mm_median, sample_diameter_mm_min, sample_diameter_mm_n_non_missing, sample_diameter_mm_n_records, sample_diameter_mm_p10, sample_diameter_mm_p90, sample_diameter_mm_std, sample_individual_fruit_fresh_weight_g_max, sample_individual_fruit_fresh_weight_g_mean, sample_individual_fruit_fresh_weight_g_median, sample_individual_fruit_fresh_weight_g_min, sample_individual_fruit_fresh_weight_g_n_non_missing, sample_individual_fruit_fresh_weight_g_n_records, sample_individual_fruit_fresh_weight_g_p10, sample_individual_fruit_fresh_weight_g_p90, sample_individual_fruit_fresh_weight_g_std, sample_length_mm_max, sample_length_mm_mean, sample_length_mm_median, sample_length_mm_min, sample_length_mm_n_non_missing, sample_length_mm_n_records, sample_length_mm_p10, sample_length_mm_p90, sample_length_mm_std, script07_n_fruit_size_samples, solar_radiation, solar_radiation_7d, tmax_c, tmean_7d, tmean_c, tmin_c","forecast_task, nitrogen_treatment"
2023-09-24,M1,Calendar + nitrogen RF,139,79,60,4,3,"forecast_horizon_days, origin_day_of_year",nitrogen_treatment
2023-09-24,M2,+ weather / GDD RF,139,79,60,4,9,"cumulative_gdd_base_10, cumulative_solar_radiation, forecast_horizon_days, gdd_base_10, origin_day_of_year, rhmean_7d, solar_radiation_7d, tmean_7d",nitrogen_treatment
2023-09-24,M3,+ leading crop indicators RF,139,79,60,4,16,"cumulative_gdd_base_10, cumulative_solar_radiation, current_dry_matter_g, current_fruit_number, dry_matter_trend_g, forecast_horizon_days, fruit_number_trend, gdd_base_10, mean_fruit_diameter_mm, mean_individual_fruit_fresh_weight_g, origin_day_of_year, rhmean_7d, sample_length_mm_median, solar_radiation_7d, tmean_7d",nitrogen_treatment
2023-09-24,M4,Compact crop/weather RF,139,79,60,4,18,"cumulative_gdd_base_10, cumulative_solar_radiation, current_dry_matter_g, current_fresh_matter_g, current_fruit_number, dry_matter_trend_g, forecast_horizon_days, fresh_matter_trend_g, fruit_number_trend, gdd_base_10, mean_fruit_diameter_mm, mean_individual_fruit_fresh_weight_g, origin_day_of_year, rhmean_7d, sample_length_mm_median, solar_radiation_7d, tmean_7d",nitrogen_treatment
2023-09-24,M5,Compact crop/weather + tagged-fruit RF,139,79,60,4,23,"cumulative_gdd_base_10, cumulative_solar_radiation, current_dry_matter_g, current_fresh_matter_g, current_fruit_number, dry_matter_trend_g, forecast_horizon_days, fresh_matter_trend_g, fruit_number_trend, gdd_base_10, mean_fruit_diameter_mm, mean_individual_fruit_fresh_weight_g, origin_day_of_year, rhmean_7d, sample_length_mm_median, solar_radiation_7d, tagged_fruit_diameter_current_mm, tagged_fruit_diameter_trend_mm, tagged_fruit_length_current_mm, tagged_fruit_length_trend_mm, tagged_fruit_n_observed, tmean_7d",nitrogen_treatment
2023-09-24,M6,Full raw RF reference,139,79,60,4,80,"change_dry_matter_g, change_fresh_matter_g, change_fruit_number, cumulative_gdd_base_10, cumulative_solar_radiation, current_dry_matter_g, current_fresh_matter_g, current_fruit_number, day_of_year, days_since_previous_observation, days_since_weather_start, forecast_horizon_days, gdd_base_10, mean_fruit_diameter_mm, mean_fruit_length_mm, mean_individual_fruit_fresh_weight_g, mean_tagged_fruit_diameter_mm, mean_tagged_fruit_length_mm, n_fruit_size_samples, n_tagged_fruit_diameter_mm_observations, n_tagged_fruit_length_mm_observations, origin_day_of_year, origin_month, origin_week_of_year, previous_dry_matter_g, previous_fresh_matter_g, previous_fruit_number, rhmean_7d, rhmean_pct, rolling_mean_2_dry_matter_g, rolling_mean_2_fresh_matter_g, rolling_mean_2_fruit_number, rolling_mean_3_dry_matter_g, rolling_mean_3_fresh_matter_g, rolling_mean_3_fruit_number, sample_condition_code_max, sample_condition_code_mean, sample_condition_code_median, sample_condition_code_min, sample_condition_code_n_non_missing, sample_condition_code_n_records, sample_condition_code_p10, sample_condition_code_p90, sample_condition_code_std, sample_diameter_mm_max, sample_diameter_mm_mean, sample_diameter_mm_median, sample_diameter_mm_min, sample_diameter_mm_n_non_missing, sample_diameter_mm_n_records, sample_diameter_mm_p10, sample_diameter_mm_p90, sample_diameter_mm_std, sample_individual_fruit_fresh_weight_g_max, sample_individual_fruit_fresh_weight_g_mean, sample_individual_fruit_fresh_weight_g_median, sample_individual_fruit_fresh_weight_g_min, sample_individual_fruit_fresh_weight_g_n_non_missing, sample_individual_fruit_fresh_weight_g_n_records, sample_individual_fruit_fresh_weight_g_p10, sample_individual_fruit_fresh_weight_g_p90, sample_individual_fruit_fresh_weight_g_std, sample_length_mm_max, sample_length_mm_mean, sample_length_mm_median, sample_length_mm_min, sample_length_mm_n_non_missing, sample_length_mm_n_records, sample_length_mm_p10, sample_length_mm_p90, sample_length_mm_std, script07_n_fruit_size_samples, solar_radiation, solar_radiation_7d, tmax_c, tmean_7d, tmean_c, tmin_c","forecast_task, nitrogen_treatment"
